Reading List ID,Google Books ID,Apple Books ID,ISBN-13,Title,Subtitle,Authors,Page Count,Publication Date,Publisher,Description,Subjects,Language Code,Started Reading,Paused,Finished Reading,Did Not Finish,Current Page,Current Percentage,Rating,Notes,Lists
6F6E80DF-2D43-495C-8566-46226FF1526B,YdOYmYA2TJYC,,9780812979183,The Black Swan,,"Taleb, Nassim Nicholas",366,,Random House,"In the author's point of view, a black swan is an improbable event with three principal characteristics - It is unpredictable; it carries a massive impact; and, after the fact, we concoct an explanation that makes it appear less random, and more predictable, than it was. Why do we not acknowledge the phenomenon of black swans until after they occur? Part of the answer, according to Taleb, is that humans are hardwired to learn specifics when they should be focused on generalities. We concentrate on things we already know and time and time again fail to take into consideration what we don't know. We are, therefore, unable to truly estimate opportunities, too vulnerable to the impulse to simplify, narrate, and categorize, and not open enough to rewarding those who can imagine the 'impossible'.",,en,,,,,,,,,
DA012E6D-1E23-4246-9E6F-F2CB6D16D04A,KJvuJnzbtJAC,,9780141439563,Great Expectations,,"Dickens, Charles",514,,Penguin Publishing Group,"'Great Expectations is up there for me with the world's greatest novels' Howard Jacobson. Nominated as one of America’s best-loved novels by PBS’s The Great American Read

Charles Dickens's Great Expectations charts the course of orphan Pip Pirrip's life as it is transformed by a vast, mysterious inheritance. A terrifying encounter with the escaped convict Abel Magwitch in a graveyard on the wild Kent marshes; a summons to meet the bitter, decrepit Miss Havisham and her beautiful, cold-hearted ward Estella at Satis House; the sudden generosity of a mysterious benefactor - these form a series of events that change the orphaned Pip's life forever, and he eagerly abandons his humble station as an apprentice to blacksmith Joe Gargery, beginning a new life as a gentleman. Charles Dickens's haunting late novel depicts Pip's education and development through adversity as he discovers the true nature of his identity, and his 'great expectations'. This definitive version uses the text from the first published edition of 1861. It includes a map of Kent in the early nineteenth century, and appendices on Dickens's original ending and his working notes, giving readers an illuminating glimpse into the mind of a great novelist at work.

For more than seventy years, Penguin has been the leading publisher of classic literature in the English-speaking world. With more than 1,700 titles, Penguin Classics represents a global bookshelf of the best works throughout history and across genres and disciplines. Readers trust the series to provide authoritative texts enhanced by introductions and notes by distinguished scholars and contemporary authors, as well as up-to-date translations by award-winning translators.",Classics; Fiction; Gothic; Literary,en,,,,,,,,,
215FF73F-C954-47E6-947B-A3C12E9D4A66,4siMEAAAQBAJ,,9780241951446,Penguin Essentials a Clockwork Orange,,"Burgess, Anthony",160,,Penguin UK,"The daring dystopian satire that inspired one of the most notorious films ever made, beautifully reimagined as part of the Penguin Essentials series

'Every generation should discover this book' Time Out
________________

In this nightmare vision of youth in revolt, fifteen-year-old Alex and his friends set out on a diabolical orgy of robbery, rape, torture and murder. Alex is jailed for his teenage delinquency and the State tries to reform him - but at what cost?

Experiment of language? Social prophecy? Black comedy? A Clockwork Orange is all of these.

Dazzling and transgressive, this frightening fable about good and evil asks the meaning of human freedom.
________________

'A gruesomely witty cautionary tale' Time

'Not only about man's violent nature and his capacity to choose between good and evil. It is about the excitements and intoxicating effects of language' Daily Telegraph

'I do not know of any other writer who has done as much with language . . . a very funny book' William S. Burroughs

'One of the cleverest and most original writers of his generation' The Times",Dystopian; Fiction,en,,,,,,,,,
6030DFCA-B58A-4176-A5D5-2B31FBA6FCA8,3gPEQgAACAAJ,,9780333666135,Kosovo,A Short History,"Malcolm, Noel",492,,Macmillan,"with a new introduction by the author""What could have been mere academic hairsplitting in the hands of another author is transformed by Malcolm into a thrilling detective story."" --New York Times Book Review""Excellent."" --The New York Review of Books""In this awe-inspiring work, Malcolm has created an essential aid to anyone who wishes to understand this tragic region today. . . . His book is exceptional not only for his unimpeachable research, but also for his equitable examination of the conflicting ethnic views of what really happened in this contentious region, and his determination to debunk dangerous myths."" --Publishers Weekly (starred review)""A book every policy expert, journalist and lay person must read."" --Wall Street Journal""Malcolm's narrative is gripping, even brilliant at times. . . . He takes to his task with the vigor of a detective driven by true passion. At times his claims are, in terms of Balkan history, quite revolutionary."" --The Economist",,en,,,,,,,,,
89C34EAA-98AF-4D0B-A988-729C5A40A397,tkr_03qNJmoC,,9780679643685,The Bed of Procrustes,Philosophical and Practical Aphorisms,"Taleb, Nassim Nicholas",176,,Random House Publishing Group,"The author of the modern classics The Black Swan, Fooled by Randomness, and Antifragile, Nassim Nicholas Taleb expresses major ideas in ways you least expect in this collection of aphorisms and meditations—now expanded with fifty percent more material than the hardcover.
 
The Bed of Procrustes takes its title from the Greek myth of a man who made his visitors fit his bed to perfection, either by stretching them or by cutting their limbs. It represents Taleb’s view of modern civilization’s hubristic side effects—modifying humans to satisfy technology, blaming reality for not fitting economic models, inventing diseases to sell drugs, defining intelligence as what can be tested in a classroom, and convincing people that employment is not slavery. Playful and irreverent, these aphorisms will surprise you by exposing self-delusions you have been living with but never recognized.

With a rare combination of pointed wit and potent wisdom, Taleb plows through human illusions, contrasting the classical values of courage, elegance, and erudition with the modern diseases of nerdiness, philistinism, and phonies.",Business & Economics; Corporate Finance; Philosophy; Psychology; Social; Social Psychology,en,,,,,,,,,
A5C18A73-0F02-4058-BBFC-A901431DB084,QGaMDQAAQBAJ,,9780812979688,Antifragile,Things That Gain from Disorder,"Taleb, Nassim Nicholas",544,,Random House Publishing Group,"Antifragile is a standalone book in Nassim Nicholas Taleb’s landmark Incerto series, an investigation of opacity, luck, uncertainty, probability, human error, risk, and decision-making in a world we don’t understand. The other books in the series are Fooled by Randomness, The Black Swan, Skin in the Game, and The Bed of Procrustes.

Nassim Nicholas Taleb, the bestselling author of The Black Swan and one of the foremost thinkers of our time, reveals how to thrive in an uncertain world.

Just as human bones get stronger when subjected to stress and tension, and rumors or riots intensify when someone tries to repress them, many things in life benefit from stress, disorder, volatility, and turmoil. What Taleb has identified and calls “antifragile” is that category of things that not only gain from chaos but need it in order to survive and flourish.

In The Black Swan, Taleb showed us that highly improbable and unpredictable events underlie almost everything about our world. In Antifragile, Taleb stands uncertainty on its head, making it desirable, even necessary, and proposes that things be built in an antifragile manner. The antifragile is beyond the resilient or robust. The resilient resists shocks and stays the same; the antifragile gets better and better.

Furthermore, the antifragile is immune to prediction errors and protected from adverse events. Why is the city-state better than the nation-state, why is debt bad for you, and why is what we call “efficient” not efficient at all? Why do government responses and social policies protect the strong and hurt the weak? Why should you write your resignation letter before even starting on the job? How did the sinking of the Titanic save lives? The book spans innovation by trial and error, life decisions, politics, urban planning, war, personal finance, economic systems, and medicine. And throughout, in addition to the street wisdom of Fat Tony of Brooklyn, the voices and recipes of ancient wisdom, from Roman, Greek, Semitic, and medieval sources, are loud and clear.

Antifragile is a blueprint for living in a Black Swan world.

Erudite, witty, and iconoclastic, Taleb’s message is revolutionary: The antifragile, and only the antifragile, will make it.

Praise for Antifragile

“Ambitious and thought-provoking . . . highly entertaining.”—The Economist

“A bold book explaining how and why we should embrace uncertainty, randomness, and error . . . It may just change our lives.”—Newsweek",Business & Economics; Decision-Making & Problem Solving; Investments & Securities; Movements; Phenomenology; Philosophy; Stocks,en,,,,,,,,,
200AA109-7F41-46AC-8804-6916E130FFF7,a_7TAAAACAAJ,,9780141023922,Miracles and Idolatry,,Voltaire,127,,Penguin,"Throughout history, some books have changed the world. They have transformed the way we see ourselves - and each other. They have inspired debate, dissent, war and revolution. They have enlightened, outraged, provoked and comforted. They have enriched lives - and destroyed them. Now Penguin brings you the works of the great thinkers, pioneers, radicals and visionaries whose ideas shook civilization and helped make us who we are.

Voltaire's short, radical and iconoclastic essays on philosophical ideas from angels to idolatry, miracles to wickedness, make wry observations about human beliefs, and mock hypocrisy and extravagant piety - his call to his fellow men to act with reason and see through the lies they are fed by their leaders has provided inspiration to freethinkers everywhere.",Essays; History & Surveys; Literary Collections; Literary Criticism; Modern; Philosophy; Religious,en,,,,,,,,,
FC45CA0C-29C2-47DD-A7EA-B09ED7D8F4CF,AifhDwAAQBAJ,,9781982164799,Principles for Dealing with the Changing World Order,Why Nations Succeed and Fail,"Dalio, Ray",576,,Simon and Schuster,"NEW YORK TIMES BESTSELLER * MORE THAN ONE MILLION COPIES SOLD

“A provocative read...There are few tomes that coherently map such broad economic histories as well as Mr. Dalio’s. Perhaps more unusually, Mr. Dalio has managed to identify metrics from that history that can be applied to understand today.” —Andrew Ross Sorkin, The New York Times

From legendary investor Ray Dalio, author of the #1 New York Times bestseller Principles, who has spent half a century studying global economies and markets, Principles for Dealing with the Changing World Order examines history’s most turbulent economic and political periods to reveal why the times ahead will likely be radically different from those we’ve experienced in our lifetimes—and to offer practical advice on how to navigate them well. 

A few years ago, Ray Dalio noticed a confluence of political and economic conditions he hadn’t encountered before. They included huge debts and zero or near-zero interest rates that led to massive printing of money in the world’s three major reserve currencies; big political and social conflicts within countries, especially the US, due to the largest wealth, political, and values disparities in more than 100 years; and the rising of a world power (China) to challenge the existing world power (US) and the existing world order. The last time that this confluence occurred was between 1930 and 1945. This realization sent Dalio on a search for the repeating patterns and cause/effect relationships underlying all major changes in wealth and power over the last 500 years.

In this remarkable and timely addition to his Principles series, Dalio brings readers along for his study of the major empires—including the Dutch, the British, and the American—putting into perspective the “Big Cycle” that has driven the successes and failures of all the world’s major countries throughout history. He reveals the timeless and universal forces behind these shifts and uses them to look into the future, offering practical principles for positioning oneself for what’s ahead.",21st Century; Business & Economics; Economics; Economics & Trade; History; International; Macroeconomics; Modern,en,,,,,,,,,Bookshelf (30)
9CFDF362-A3A9-4D24-8565-618A50D0C0BD,AXVUqdzi3rsC,,9781101157879,Dune Messiah,,"Herbert, Frank",336,,Penguin,"Book Two in the Magnificent Dune Chronicles—the Bestselling Science Fiction Adventure of All Time

Dune Messiah continues the story of Paul Atreides, better known—and feared—as the man christened Muad’Dib. As Emperor of the known universe, he possesses more power than a single man was ever meant to wield. Worshipped as a religious icon by the fanatical Fremen, Paul faces the enmity of the political houses he displaced when he assumed the throne—and a conspiracy conducted within his own sphere of influence.

And even as House Atreides begins to crumble around him from the machinations of his enemies, the true threat to Paul comes to his lover, Chani, and the unborn heir to his family’s dynasty...",Classics; Epic; Fantasy; Fiction; Science Fiction; Space Opera,en,,,,,,,,,Bookshelf (21)
3A6D6E48-08EB-40A7-9CCD-DF005749218F,A8K7EAAAQBAJ,,9780470452578,How I Became a Quant,Insights from 25 of Wall Street's Elite,"Lindsey, Richard R.; Schachter, Barry",400,,John Wiley & Sons,"Praise for How I Became a Quant

""Led by two top-notch quants, Richard R. Lindsey and Barry Schachter, How I Became a Quant details the quirky world of quantitative analysis through stories told by some of today's most successful quants. For anyone who might have thought otherwise, there are engaging personalities behind all that number crunching!""
--Ira Kawaller, Kawaller & Co. and the Kawaller Fund

""A fun and fascinating read. This book tells the story of how academics, physicists, mathematicians, and other scientists became professional investors managing billions.""
--David A. Krell, President and CEO, International Securities Exchange

""How I Became a Quant should be must reading for all students with a quantitative aptitude. It provides fascinating examples of the dynamic career opportunities potentially open to anyone with the skills and passion for quantitative analysis.""
--Roy D. Henriksson, Chief Investment Officer, Advanced Portfolio Management

""Quants""--those who design and implement mathematical models for the pricing of derivatives, assessment of risk, or prediction of market movements--are the backbone of today's investment industry. As the greater volatility of current financial markets has driven investors to seek shelter from increasing uncertainty, the quant revolution has given people the opportunity to avoid unwanted financial risk by literally trading it away, or more specifically, paying someone else to take on the unwanted risk.

How I Became a Quant reveals the faces behind the quant revolution, offering you?the?chance to learn firsthand what it's like to be a?quant today. In this fascinating collection of Wall Street war stories, more than two dozen quants detail their roots, roles, and contributions, explaining what they do and how they do it, as well as outlining the sometimes unexpected paths they have followed from the halls of academia to the front lines of an investment revolution.",Accounting; Business & Economics; Finance,en,,,,,,,,,Bookshelf (29)
51C29D81-5008-4BF3-9478-17F875C576F5,OdpWOjo7EeQC,,9780553384611,The Snowball,Warren Buffett and the Business of Life,"Schroeder, Alice",832,,Random House Publishing Group,"The personally revealing and complete biography of the man known everywhere as “The Oracle of Omaha”—for fans of the HBO documentary Becoming Warren Buffett

Here is the book recounting the life and times of one of the most respected men in the world, Warren Buffett. The legendary Omaha investor has never written a memoir, but now he has allowed one writer, Alice Schroeder, unprecedented access to explore directly with him and with those closest to him his work, opinions, struggles, triumphs, follies, and wisdom.

Although the media track him constantly, Buffett himself has never told his full life story. His reality is private, especially by celebrity standards. Indeed, while the homespun persona that the public sees is true as far as it goes, it goes only so far. Warren Buffett is an array of paradoxes. He set out to prove that nice guys can finish first. Over the years he treated his investors as partners, acted as their steward, and championed honesty as an investor, CEO, board member, essayist, and speaker. At the same time he became the world’s richest man, all from the modest Omaha headquarters of his company Berkshire Hathaway. None of this fits the term “simple.”

When Alice Schroeder met Warren Buffett she was an insurance industry analyst and a gifted writer known for her keen perception and business acumen. Her writings on finance impressed him, and as she came to know him she realized that while much had been written on the subject of his investing style, no one had moved beyond that to explore his larger philosophy, which is bound up in a complex personality and the details of his life. Out of this came his decision to cooperate with her on the book about himself that he would never write.

Never before has Buffett spent countless hours responding to a writer’s questions, talking, giving complete access to his wife, children, friends, and business associates—opening his files, recalling his childhood. It was an act of courage, as The Snowball makes immensely clear. Being human, his own life, like most lives, has been a mix of strengths and frailties. Yet notable though his wealth may be, Buffett’s legacy will not be his ranking on the scorecard of wealth; it will be his principles and ideas that have enriched people’s lives. This book tells you why Warren Buffett is the most fascinating American success story of our time.

Praise for The Snowball

“Even people who don't care a whit about business will be intrigued by this portrait. . . . Schroeder, a former insurance-industry analyst, spent years interviewing Buffett, and the result is a side of the Oracle of Omaha that has rarely been seen.”—Time

“Will mesmerize anyone interested in who Mr. Buffett is or how he got that way. The Snowball tells a fascinating story.”—New York Times

“If the replication of any great achievement first requires knowledge of how it was done, then The Snowball, the most detailed glimpse inside Warren Buffett and his world that we likely will ever get, should become a Bible for capitalists.”—Washington Post

“Riveting and encyclopedic.”—Wall Street Journal

“A monumental biography . . . Schroeder got the best access yet of any Buffett biographer. . . . She deals out marvelously funny and poignant stories about Buffett and the conglomerate he runs, Berkshire Hathaway.”—Forbes

“The most authoritative portrait of one of the most important American investors of our time.”—Los Angeles Times",Biography & Autobiography; Business; Personal Memoirs; Rich & Famous,en,,,,,,,,,Bookshelf (2)
EA919CE6-4FE0-47EE-B2E4-348D66E6C113,jYHtp6kx8qgC,,9780393338102,"The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory",,"Greene, Brian",464,,W. W. Norton & Company,"In this refreshingly clear book, Brian Greene, a leading string theorist, relates the scientific story and the human struggle behind the search for the ultimate theory. String theory, as the author vividly describes, reveals a vision of the universe that is sending shock waves through the world of physics. Thrilling and revolutionary ideas such as new dimensions hidden within the fabric of space, black holes transmuting into elementary particles, rips and punctures in the space-time continuum, gigantic universes interchangeable with minuscule ones, and a wealth of others are playing a pivotal role as physicists use string theory to grapple with some of the deepest questions of the ages. With authority and grace, The Elegant Universe introduces us to the discoveries and the remaining mysteries, the exhilaration and the frustrations of those who relentlessly probe the ultimate nature of space, time, and matter.",Cosmology; Mathematical & Computational; Nuclear; Physics; Quantum Theory; Science; Space Science,en,,,,,,,,,Bookshelf (23); Science to Read (5)
AAE3DA7B-61DD-46C2-AE74-C83A45DB1295,43SPDQAAQBAJ,,9780375727207,The Fabric of the Cosmos,"Space, Time, and the Texture of Reality","Greene, Brian",592,,Knopf Doubleday Publishing Group,"NATIONAL BESTSELLER • From one of the world’s leading physicists and author of the Pulitzer Prize finalist The Elegant Universe, comes “an astonishing ride” through the universe (The New York Times) that makes us look at reality in a completely different way.

Space and time form the very fabric of the cosmos. Yet they remain among the most mysterious of concepts. Is space an entity? Why does time have a direction? Could the universe exist without space and time? Can we travel to the past? Greene has set himself a daunting task: to explain non-intuitive, mathematical concepts like String Theory, the Heisenberg Uncertainty Principle, and Inflationary Cosmology with analogies drawn from common experience. From Newton’s unchanging realm in which space and time are absolute, to Einstein’s fluid conception of spacetime, to quantum mechanics’ entangled arena where vastly distant objects can instantaneously coordinate their behavior, Greene takes us all, regardless of our scientific backgrounds, on an irresistible and revelatory journey to the new layers of reality that modern physics has discovered lying just beneath the surface of our everyday world.",Cosmology; Philosophy & Social Aspects; Science; Space Science; Time,en,,,,,,,,,Bookshelf (4)
D329C1FB-5607-42D1-9432-801DE6D5598F,06qwswEACAAJ,,9780762416981,On The Shoulders Of Giants,,"Hawking, Stephen",1280,,Running Press,"World-renowned physicist and bestselling author Stephen Hawking presents a revolutionary look at the momentous discoveries that changed our perception of the world with this first-ever compilation of seven classic works on physics and astronomy. His choice of landmark writings by some of the world's great thinkers traces the brilliant evolution of modern science and shows how each figure built upon the genius of his predecessors. On the Shoulders of Giants includes, in their entirety, On the Revolution of Heavenly Spheres by Nicolaus Copernicus; Principia by Sir Isaac Newton; The Principle of Relativity by Albert Einstein; Dialogues Concerning Two Sciences by Galileo Galilei with Alfonso De Salvio; plus Mystery of the Cosmos, Harmony of the World, and Rudolphine Tables by Johannes Kepler. It also includes five critical essays and a biography of each featured physicist, written by Hawking himself.",Astronomy; Astrophysics; Cosmology; Essays; History; Physics; Science; Space Science,en,,,,,,,,,Bookshelf (27)
3D2A40D4-8575-4A2F-9A27-85EA50404D30,Anwp7vTR1usC,,9780679783367,The Wealth of Nations,,"Smith, Adam",1184,,Random House Publishing Group,"Adam Smith’s masterpiece, first published in 1776, is the foundation of modern economic thought and remains the single most important account of the rise of, and the principles behind, modern capitalism. Written in clear and incisive prose, The Wealth of Nations articulates the concepts indispensable to an understanding of contemporary society; and Robert Reich’s Introduction both clarifies Smith’s analyses and illuminates his overall relevance to the world in which we live. As Reich writes, “Smith’s mind ranged over issues as fresh and topical today as they were in the late eighteenth century—jobs, wages, politics, government, trade, education, business, and ethics.”

Introduction by Robert Reich • Commentary by R. H. Campbell and A. S. Skinner • Includes a Modern Library Reading Group Guide",Business & Economics; Economic History; Economics; History; Revolutionary Period (1775-1800); Theory; United States,en,,,,,,,,,
2368708A-8454-468A-9F83-5671B1AE2DEB,wTFljwEACAAJ,,9780771038686,Homo Deus,A History of Tomorrow,"Harari, Yuval N",448,,McClelland & Stewart,"Yuval Noah Harari, author of the critically-acclaimed New York Times bestseller and international phenomenon Sapiens, returns with an equally original, compelling, and provocative book, turning his focus toward humanity's future, and our quest to upgrade humans into gods. Over the past century humankind has managed to do the impossible and rein in famine, plague, and war. This may seem hard to accept, but, as Harari explains in his trademark style- thorough, yet riveting- famine, plague and war have been transformed from incomprehensible and uncontrollable forces of nature into manageable challenges. For the first time ever, more people die from eating too much than from eating too little; more people die from old age than from infectious diseases; and more people commit suicide than are killed by soldiers, terrorists and criminals put together. The average American is a thousand times more likely to die from binging at McDonalds than from being blown up by Al Qaeda. What then will replace famine, plague, and war at the top of the human agenda? As the self-made gods of planet earth, what destinies will we set ourselves, and which quests will we undertake? Homo Deus explores the projects, dreams and nightmares that will shape the twenty-first century- from overcoming death to creating artificial life. It asks the fundamental questions: Where do we go from here? And how will we protect this fragile world from our own destructive powers? This is the next stage of evolution. This is Homo Deus. With the same insight and clarity that made Sapiens an international hit and a New York Times bestseller, Harari maps out our future.",,en,,,,,,,,,Bookshelf (9)
0135CDAF-BA6E-49D3-BEAA-37490449CB79,IIlPEAAAQBAJ,,9780140455472,The Nicomachean Ethics,,Aristotle,276,,Penguin Publishing Group,"A new translation of one of the most important philosophical works of all time

A Penguin Classic

Aristotle’s classic treatise is based on his famous doctrine of the golden mean, which advocates taking the middle course between excess and deficiency. Reacting against Plato’s absolutism, Aristotle insisted that there are no definitive moral standards and that ethical philosophy must be based on human nature and experience.

Treating such topics as moral worth, intellectual virtue, pleasure, friendship, and happiness, The Nicomachean Ethics asks above all: What is the good life, and how can we live it?",Ancient & Classical; Ethics & Moral Philosophy; Good & Evil; History & Surveys; Philosophy,en,2025-01-07,,,,,,,,
0D73041B-F92E-4F76-8FC5-48E1FC582803,qRMqB2BSJr4C,,9781589795471,The Millionaire Next Door,The Surprising Secrets of America's Wealthy,"Stanley, Thomas J.; Danko, William D.",272,,Government Institutes,"""Why aren't I as wealthy as I should be?"" Many people ask this question of themselves all the time. Often they are hard-working, well educated middle- to high-income people. Why, then, are so few affluent. For nearly two decades the answer has been found in the bestselling The Millionaire Next Door: The Surprising Secrets of America's Wealthy, reissued with a new foreword for the twenty-first century by Dr. Thomas J. Stanley. According to the authors, most people have it all wrong about how you become wealthy in America. Wealth in America is more often the result of hard work, diligent savings, and living below your means than it is about inheritance, advance degrees, and even intelligence. The Millionaire Next Door identifies seven common traits that show up again and again among those who have accumulated wealth. You will learn, for example, that millionaires bargain shop for used cars, pay a tiny fraction of their wealth in income tax, raise children who are often unaware of their family's wealth until they are adults, and, above all, reject the big-spending lifestyles most of us associate with rich people. In fact, you will learn that the flashy millionaires glamorized in the media represent only a tiny minority of America's rich. Most of the truly wealthy in this country don't live in Beverly Hills or on Park Avenue-they live next door.",Business & Economics; Motivational; Personal Finance; Social Classes & Economic Disparity; Social Science,en,2023-05-07,,2023-05-31,,,,2.5,Will come back to review this once I get my copy back,
FA315BB7-7079-4B04-8906-1A841B12DB2F,yvqxDgAAQBAJ,,9781476753836,"Salt, Fat, Acid, Heat",Mastering the Elements of Good Cooking,"Nosrat, Samin",469,,Simon and Schuster,"Now a Netflix series 

New York Times Bestseller and Winner of the 2018 James Beard Award for Best General Cookbook and multiple IACP Cookbook Awards 

Named one of the Best Books of 2017 by: NPR, BuzzFeed, The Atlantic, The Washington Post, Chicago Tribune, Rachel Ray Every Day, San Francisco Chronicle, Vice Munchies, Elle.com, Glamour, Eater, Newsday, Minneapolis Star Tribune,  The Seattle Times, Tampa Bay Times, Tasting Table, Modern Farmer, Publishers Weekly,  and more.

A visionary new master class in cooking that distills decades of professional experience into just four simple elements, from the woman declared ""America's next great cooking teacher"" by Alice Waters.

In the tradition of The Joy of Cooking and How to Cook Everything comes Salt, Fat, Acid, Heat, an ambitious new approach to cooking by a major new culinary voice. Chef and writer Samin Nosrat has taught everyone from professional chefs to middle school kids to author Michael Pollan to cook using her revolutionary, yet simple, philosophy. Master the use of just four elements--Salt, which enhances flavor; Fat, which delivers flavor and generates texture; Acid, which balances flavor; and Heat, which ultimately determines the texture of food--and anything you cook will be delicious. By explaining the hows and whys of good cooking, Salt, Fat, Acid, Heat will teach and inspire a new generation of cooks how to confidently make better decisions in the kitchen and cook delicious meals with any ingredients, anywhere, at any time.

Echoing Samin's own journey from culinary novice to award-winning chef, Salt, Fat Acid, Heat immediately bridges the gap between home and professional kitchens. With charming narrative, illustrated walkthroughs, and a lighthearted approach to kitchen science, Samin demystifies the four elements of good cooking for everyone. Refer to the canon of 100 essential recipes--and dozens of variations--to put the lessons into practice and make bright, balanced vinaigrettes, perfectly caramelized roast vegetables, tender braised meats, and light, flaky pastry doughs.

Featuring 150 illustrations and infographics that reveal an atlas to the world of flavor by renowned illustrator Wendy MacNaughton, Salt, Fat, Acid, Heat will be your compass in the kitchen. Destined to be a classic, it just might be the last cookbook you'll ever need.

With a foreword by Michael Pollan.",Cooking; Methods; Reference; Regional & Ethnic; Specific Ingredients,en,2023-03-11,,2024-10-09,Y,,,,,
2FBBA537-8F38-413B-8BEA-D51030F2EED2,,,9780060155476,The Intelligent Investor,A Book of Practical Counsel,"Graham, Benjamin",291,1986-01-22,HarperBusiness,"The classic bestseller by Benjamin Graham, perhapsthe greatest investment advisor of the 20th century, The Intelligent Investor has taught and inspired hundreds of thousands of people worldwide. Since its original publication in 1949, Benjamin Graham's book has remained the most respected guide to investing, due to his timeless philosophyof""value investing,"" which helps protect investors against the areas of possible substantial error and teaches them to develop long-term strategies with which they will be comfortable down the road.
Over the years, market developments have borne out the wisdom ofBenjamin Graham's basic policies. Here he takes account of both the defensive and the enterprising investor, outlining the principles of stock selection for each, and stressing the advantages of a simple portfolio policy. Among the book's special features are the use of numerous comparisons of pairs of common stocks to bring out their elements of strength and weakness and the construction of investment portfolios designed to meet specific requirements of quality and price attractiveness.

The Intelligent Investor may be the most important book you will ever read on making your investments a success.

""The Intelligent Investor is the best book ever written for the stockholder,"" says author and investment counselor John Train. Benjamin Graham's classic work offers sound and safe principles for investing-principles that have worked for more than forty years since the first edition was published. With an introduction and appendix by Warren Buffett, one of Graham's most famous students in investing strategy, this book takes account of both the defensive and the enterprising investor.

""By far the best book on investing ever written."" -- Warren E. Buffett

""There have been other good books written about money since 1841, but only a few hold up. The best known and most likely to make you money is The Intelligent Investor."" -- Andrew Tobias

""Graham ranks as this century's (and perhaps history's) most important thinker on applied portfolio investment."" -- John Train, author of The Money Masters",Finance; Investing,en,2023-06-16,,2023-07-09,,,,2.5,Was a nice book. Pretty outdated though given the rise of ETFs in recent years and how they have changed investing for the lay-investor. Also some sections were simply outdated and too specific (e.g. the sections on specific bond types). I also made the mistake of buying the classic edition which is the one written in the 50s so it was even more useless (I then read the “newest” edition which was slightly better).,
02FE6FB7-ABBC-4C29-B117-3495F906E687,QFdUX7xFpZ0C,,9780060752613,intelligent investor,The Classic Text on Value Investing,"Graham, Benjamin",250,,HarperCollins,"More than one million hardcovers sold
Now available for the first time in paperback!

The Classic Text Annotated to Update Graham's Timeless Wisdom for Today's Market Conditions

The greatest investment advisor of the twentieth century, Benjamin Graham taught and inspired people worldwide. Graham's philosophy of ""value investing"" -- which shields investors from substantial error and teaches them to develop long-term strategies -- has made The Intelligent Investor the stock market bible ever since its original publication in 1949.

Over the years, market developments have proven the wisdom of Graham's strategies. While preserving the integrity of Graham's original text, this revised edition includes updated commentary by noted financial journalist Jason Zweig, whose perspective incorporates the realities of today's market, draws parallels between Graham's examples and today's financial headlines, and gives readers a more thorough understanding of how to apply Graham's principles.

Vital and indispensable, this HarperBusiness Essentials edition of The Intelligent Investor is the most important book you will ever read on how to reach your financial goals.",Business & Economics; Finance; Investing; Investments & Securities; Personal Finance,en,2023-05-31,,2023-06-16,Y,138,,,,
60FF7A7A-8853-4F42-8F8A-4C6F78AC6E74,XtS0pZ4iiaYC,,9780140449273,The Symposium,,Plato,144,,Penguin Publishing Group,"A fascinating discussion on sex, gender, and human instincts, as relevant today as ever

In the course of a lively drinking party, a group of Athenian intellectuals exchange views on eros, or desire. From their conversation emerges a series of subtle reflections on gender roles, sex in society and the sublimation of basic human instincts. The discussion culminates in a radical challenge to conventional views by Plato's mentor, Socrates, who advocates transcendence through spiritual love. The Symposium is a deft interweaving of different viewpoints and ideas about the nature of love—as a response to beauty, a cosmic force, a motive for social action and as a means of ethical education.

For more than seventy years, Penguin has been the leading publisher of classic literature in the English-speaking world. With more than 1,700 titles, Penguin Classics represents a global bookshelf of the best works throughout history and across genres and disciplines. Readers trust the series to provide authoritative texts enhanced by introductions and notes by distinguished scholars and contemporary authors, as well as up-to-date translations by award-winning translators.",Ancient & Classical; Essays; History & Surveys; Individual Philosophers; Philosophy,en,2023-07-15,,2023-07-23,,,,2.0,I can see why people would find this interesting but it is really obvious this was written in ancient times. Women are regarded as inferior intellectually and the book praises what by today’s standards would be pedophilic relationships. It was still interesting to get a view of what Plato and an ancient greek philosopher would think and i was more interested in the greek culture aspect of the work than the actual philosophizing done about love which i believe is very outdated and non-applicable to todays discourse on the subject.,
